object_id,sdss_name,apparent_mag_2500,f_host_4200
1391814,024028.11-005605.8,21.968615528027534,-1.0
1391766,024037.61-005637.9,22.120346339309272,-1.0
1391675,024051.10-010518.8,22.303621088772964,-1.0
1391583,024105.06-005132.6,22.256180589703597,-1.0
1391454,024126.71-004526.3,20.163406917214182,-1.0
1391283,024154.42-004757.6,23.422511412447896,-1.0
1391217,024204.58-003835.7,22.193430385945895,-1.0
1391199,024207.19-002818.9,21.361015572130633,-1.0
1391164,024212.65-010339.5,22.764009791169876,-1.0
1391150,024214.97-003131.8,21.569604288535395,-1.0
1391093,024220.73-002059.7,20.741623614623357,-1.0
1390992,024234.93-010351.9,21.482662495682824,-1.0
1390942,024242.51-002212.9,22.508830577122133,-1.0
1390860,024256.93-001558.1,22.339478676296473,-1.0
1390858,024257.20-004549.5,22.9215504875199,-1.0
1390847,024259.00-001038.3,21.82594388442876,-1.0
1390837,024300.45-003030.2,22.036766811590105,-1.0
1390830,024300.83-001055.3,22.70046714641058,-1.0
1390798,024306.67-002531.4,22.004660845134843,-1.0
1390747,024315.63-002032.3,21.54273607718023,-1.0
1390677,024325.97-003145.2,140.80442121113396,-1.0
1390673,024326.62-002056.1,21.786830288886783,-1.0
1390621,024337.17-002340.2,21.92754051621764,-1.0
1390600,024339.51-002445.8,21.663531008472937,-1.0
1390597,024340.11-001749.4,21.49002934232994,-1.0
1390594,024340.59-003801.4,21.805011419450132,-1.0
1390576,024344.31-000201.1,21.89084832393896,-1.0
1390559,024347.37-010611.7,23.659262686624253,-1.0
1390491,024357.90-011330.5,22.1925981218075,-1.0
1390490,024357.92-005447.8,22.971592080003767,-1.0
1390435,024407.44-010516.5,21.77525732329226,-1.0
1390392,024413.76-000447.5,23.123740252318832,-1.0
1390379,024415.61-000053.1,23.175396269963876,-1.0
1390346,024422.20-011247.2,22.329736908022703,-1.0
1390335,024424.62-001219.7,21.96876224301709,-1.0
1390331,024425.39-004653.0,20.218275584584497,-1.0
1390319,024426.88-003028.4,22.40164046538434,-1.0
1390243,024439.73-004257.1,24.016327111044355,-1.0
1390226,024442.58-002320.4,22.704591913026825,-1.0
1390223,024442.77-004223.2,21.11651110779453,-1.0
1390159,024452.32-003317.8,22.867889859706132,-1.0
