oid,filter,mjd,mag,magerr,clrcoeff,ref,ref_err
715107400005470,zg,58202.33246,13.03713,0.016475962,-0.02619811,13.019001,0.045
715107400005470,zg,58205.29962,13.094438,0.01632591,-0.03934834,13.019001,0.045
715107400005470,zg,58205.33584,13.062809,0.016408604,-0.028623924,13.019001,0.045
715107400005470,zg,58208.30631,13.102501,0.016304873,-0.037526384,13.019001,0.045
715207400001942,zr,58216.23867,12.432411,0.015616201,0.13566807,12.511,0.056
715207400001942,zr,58217.23876,12.497648,0.015530466,0.11763094,12.511,0.056
715207400001942,zr,58217.23974,12.535525,0.015480985,0.119334295,12.511,0.056
715207400001942,zr,58217.27006,12.48707,0.015544325,0.124086894,12.511,0.056
715207400001942,zr,58218.25652,12.517362,0.015504685,0.13006726,12.511,0.056
715207400001942,zr,58218.29332,12.462104,0.0155771,0.12908427,12.511,0.056
715207400001942,zr,58218.29981,12.554128,0.015456765,0.14014016,12.511,0.056
715207400001942,zr,58219.22349,12.476624,0.015558027,0.13145345,12.511,0.056
715207400001942,zr,58219.24309,12.459974,0.015579901,0.1439918,12.511,0.056
715207400001942,zr,58219.27276,12.450062,0.015592942,0.14691444,12.511,0.056
715207400001942,zr,58221.25153,12.428012,0.015622006,0.14012551,12.511,0.056
715207400001942,zr,58222.27367,12.406886,0.015649917,0.13383453,12.511,0.056
715207400001942,zr,58222.28113,12.430621,0.015618563,0.13461533,12.511,0.056
715207400001942,zr,58224.24345,12.485395,0.01554652,0.13597263,12.511,0.056
715207400001942,zr,58224.25843,12.476284,0.015558473,0.13918719,12.511,0.056
715207400001942,zr,58224.25984,12.495537,0.015533229,0.13760915,12.511,0.056
715207400001942,zr,58224.28979,12.450048,0.015592959,0.14776647,12.511,0.056
715207400001942,zr,58224.29074,12.46624,0.015571663,0.13585392,12.511,0.056
715207400001942,zr,58226.26943,12.480682,0.0155527,0.1278526,12.511,0.056
715207400001942,zr,58227.26462,12.428291,0.015621636,0.14361121,12.511,0.056
715207400001942,zr,58227.26554,12.415049,0.015639126,0.14540388,12.511,0.056
715307400010186,zi,58232.32455,12.727454,0.013531324,0.19534813,12.844,0.052
715107400005470,zg,58233.24064,12.975623,0.016638074,-0.023545325,13.019001,0.045
715107400005470,zg,58233.24491,12.93456,0.016746886,-0.052041892,13.019001,0.045
715107400005470,zg,58234.20032,12.943486,0.016723191,-0.057192415,13.019001,0.045
715107400005470,zg,58235.17872,12.974326,0.016641505,-0.06288475,13.019001,0.045
715107400005470,zg,58236.17798,12.999895,0.016573971,-0.06980603,13.019001,0.045
715107400005470,zg,58236.18707,12.938088,0.016737517,-0.02963179,13.019001,0.045
715107400005470,zg,58237.18765,12.960578,0.01667789,-0.042339046,13.019001,0.045
715107400005470,zg,58237.22599,12.919958,0.016785687,-0.01114453,13.019001,0.045
715107400005470,zg,58238.18392,12.987411,0.016606923,-0.06452967,13.019001,0.045
715107400005470,zg,58242.21393,13.049694,0.016442982,-0.12092168,13.019001,0.045
715107400005470,zg,58242.21485,13.058109,0.016420916,-0.11393804,13.019001,0.045
715207400001942,zr,58242.26599,12.475746,0.015559178,0.12297736,12.511,0.056
715107400005470,zg,58243.21818,13.056394,0.01642541,-0.116411544,13.019001,0.045
715307400010186,zi,58243.34489,12.869188,0.013400992,0.17772982,12.844,0.052
715107400005470,zg,58244.21651,12.994921,0.016587095,-0.078024864,13.019001,0.045
715307400010186,zi,58247.16212,12.73499,0.013524298,0.17298436,12.844,0.052
715107400005470,zg,58247.20289,12.974751,0.016640382,-0.051747352,13.019001,0.045
715207400001942,zr,58247.23941,12.4030695,0.015654964,0.14496359,12.511,0.056
