oid,filter,mjd,mag,magerr,clrcoeff,ref,ref_err
861215100014335,zr,58199.27653,15.065543,0.011976695,0.07280625,15.157,0.039
861115100001926,zg,58202.26255,15.60703,0.015245203,-0.10077201,15.672001,0.019
861115100001926,zg,58202.2831,15.625871,0.015272475,-0.115000725,15.672001,0.019
861115100001926,zg,58202.2989,15.63329,0.015283422,-0.105141886,15.672001,0.019
861115100001926,zg,58204.31375,15.461551,0.015058514,-0.08720161,15.672001,0.019
861115100001926,zg,58204.39699,15.45162,0.015047235,-0.10327738,15.672001,0.019
861115100001926,zg,58205.26849,15.603416,0.015240057,-0.095451914,15.672001,0.019
861115100001926,zg,58205.29052,15.577959,0.015204562,-0.091733016,15.672001,0.019
861115100001926,zg,58205.33418,15.605765,0.015243398,-0.08289144,15.672001,0.019
861115100001926,zg,58205.33464,15.606308,0.015244171,-0.07230039,15.672001,0.019
861115100001926,zg,58205.35557,15.631003,0.0152800325,-0.09976291,15.672001,0.019
861115100001926,zg,58207.35516,15.612999,0.015253762,-0.107391745,15.672001,0.019
861115100001926,zg,58210.2935,15.695021,0.015379099,-0.0864227,15.672001,0.019
861115100001926,zg,58210.37734,15.732759,0.015441785,-0.114789374,15.672001,0.019
861115100001926,zg,58216.25289,15.616573,0.015258922,-0.057744894,15.672001,0.019
861215100014335,zr,58217.23046,15.076493,0.011978864,0.06257113,15.157,0.039
861215100014335,zr,58219.22632,15.075272,0.011978615,0.09614182,15.157,0.039
861115100001926,zg,58229.15635,15.597191,0.015231254,-0.10099647,15.672001,0.019
861215100014335,zr,58229.18339,15.054199,0.011974648,0.078279234,15.157,0.039
861115100001926,zg,58229.27624,15.632126,0.015281695,-0.113087244,15.672001,0.019
861215100014335,zr,58231.26564,15.134453,0.011993614,0.09575985,15.157,0.039
861315100013371,zi,58232.30426,15.054651,0.011804439,0.17591996,14.972,0.051
861215100014335,zr,58233.1835,15.159093,0.012001595,0.07823959,15.157,0.039
861115100001926,zg,58236.18084,15.805109,0.015571344,-0.101507545,15.672001,0.019
