i,object_id,sdss_name,z,log_lbol,log_lbol_err,log_tau_rest,log_tau_rest_err,log_sigma,log_sigma_err,log_jitter,magerrs_mean
0,1438965,001921.23-000011.3,0.9362982680611558,45.771222428940064,0.007485996479037,0.8061095539291059,0.2467026531493275,[-1.05213321 -1.09730192 -0.84772561],[0.06295549 0.08874656 0.11745229],[ -9.0589103  -16.25281073  -1.97968734],[0.12168577 0.09247747 0.09084327]
1,1438970,001920.85-001902.9,1.1596674656350143,45.14741956605644,0.0157664163229505,-0.7117490629843489,1.497649691332775,[-0.39643411 -0.60897595 -0.53946085],[0.62867792 0.90117335 0.91447396],[-15.99179576 -11.87344439 -11.89939899],[0.16965864 0.17043042]
2,1438971,001920.12-002237.4,2.151229238808284,46.265064204465794,0.0210448604984669,2.592633242668384,0.4042095143559792,[-0.65302842 -0.77854933 -0.70834995],[0.18870482 0.19151294 0.19403881],[-14.72326891 -13.49797985  -2.58248001],[0.10938744 0.09837046 0.09754648]
3,1438975,001919.31+010152.2,2.3140663774274834,47.13023001627696,0.001769889984267,2.62869413411339,0.4001625984640082,[-0.93723206 -0.95166974 -0.91375009],[0.18803496 0.18866725 0.19265326],[-13.11788022  -2.83060965  -3.03289045],[0.04545391 0.04516039 0.04321534]
4,1438978,001918.93+010814.2,2.037318635781521,46.01723206464612,0.0107722102877048,0.8240900786233821,0.2638615145032068,[-0.96906363 -0.85855936 -0.6318412 ],[0.10848223 0.16257052 0.19964726],[-12.69085296 -13.39459856  -9.2179968 ],[0.20173184 0.18041175 0.14348782]
5,1438981,001917.31+002735.4,2.4185655254125686,46.74798089297735,0.001618954059829,3.2855983913456983,0.6089647562010108,[-0.27514742 -0.24948601 -0.46295755],[0.28289841 0.2843284  0.30015322],[ -7.97587936 -14.83197672 -15.89526028],[0.12458343 0.11644912 0.07815323]
6,1438984,001916.96+002929.8,1.875443083635286,45.58669004405249,0.0240170733299329,2.060371623863052,2.216696975045024,[-2.34229012 -2.54906489 -2.46608876],[1.37014773 1.61593661 1.64886036],[ -5.86600404 -10.40343078 -10.98774053],[0.20424016 0.20403219]
7,1438985,001916.91+004707.9,1.322755215090751,45.861844575914034,0.0064653903948048,3.1377131876748754,0.546754024185325,[-0.37426457 -0.48161899 -0.51156402],[0.25479155 0.2556139  0.25614721],[-13.47765698 -13.27631718 -11.21297161],[0.10217245 0.08727707 0.0902089 ]
8,1438987,001916.34+002110.3,2.1243356321019533,45.745184846285305,0.0178982647137964,1.9617525270791536,0.4088520162405538,[-0.2056758  -0.72034804 -0.49665574],[0.14741499 0.19425675 0.19200244],[-11.72416964  -9.09067669  -3.16708558],[0.20817472 0.1858208  0.14641756]
9,1438988,001916.33+000147.1,1.951544831363856,46.13452629945628,0.0100657727794271,0.6534743404031396,0.5849586251296047,[-0.87616534 -1.0908619  -0.9908105 ],[0.14740238 0.25076089 0.26605793],[-12.57673956  -8.51186399 -16.32465597],[0.19830877 0.17868111 0.14702245]
